date,region,product,units_sold,revenue
2023-01-01,North,Widget,20,400
2023-01-02,South,Gadget,35,700
2023-01-03,East,Tool,50,1000
2023-01-04,West,Device,45,850
2023-01-05,North,Widget,20,400
2023-01-06,South,Gadget,35,700
2023-01-07,East,Tool,50,1000
2023-01-08,West,Device,45,850
2023-01-09,North,Widget,20,400
2023-01-10,South,Gadget,35,700
2023-01-11,East,Tool,50,1000
2023-01-12,West,Device,45,850
2023-01-13,North,Widget,20,400
2023-01-14,South,Gadget,35,700
2023-01-15,East,Tool,50,1000
2023-01-16,West,Device,45,850
2023-01-17,North,Widget,20,400
2023-01-18,South,Gadget,35,700
2023-01-19,East,Tool,50,1000
2023-01-20,West,Device,45,850
2023-01-21,North,Widget,20,400
2023-01-22,South,Gadget,35,700
2023-01-23,East,Tool,50,1000
2023-01-24,West,Device,45,850
2023-01-25,North,Widget,20,400
2023-01-26,South,Gadget,35,700
2023-01-27,East,Tool,50,1000
2023-01-28,West,Device,45,850
2023-01-29,North,Widget,20,400
2023-01-30,South,Gadget,35,700
2023-01-31,East,Tool,50,1000
2023-02-01,West,Device,45,850
2023-02-02,North,Widget,20,400
2023-02-03,South,Gadget,35,700
2023-02-04,East,Tool,50,1000
2023-02-05,West,Device,45,850
2023-02-06,North,Widget,20,400
2023-02-07,South,Gadget,35,700
2023-02-08,East,Tool,50,1000
2023-02-09,West,Device,45,850
2023-02-10,North,Widget,20,400
2023-02-11,South,Gadget,35,700
2023-02-12,East,Tool,50,1000
2023-02-13,West,Device,45,850
2023-02-14,North,Widget,20,400
2023-02-15,South,Gadget,35,700
2023-02-16,East,Tool,50,1000
2023-02-17,West,Device,45,850
2023-02-18,North,Widget,20,400
2023-02-19,South,Gadget,35,700
2023-02-20,East,Tool,50,1000
2023-02-21,West,Device,45,850
2023-02-22,North,Widget,20,400
2023-02-23,South,Gadget,35,700
2023-02-24,East,Tool,50,1000
2023-02-25,West,Device,45,850
2023-02-26,North,Widget,20,400
2023-02-27,South,Gadget,35,700
2023-02-28,East,Tool,50,1000
2023-03-01,West,Device,45,850
